# Average slewing corrections obtained with run 12995.
# Channels 411 410 591 590 561 560 399 398 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
468    -0.04189    8.21      1.8425
469    -0.03482	   13.68      0.4442
470    -0.04189    8.21      1.8425
471    -0.03482	   13.68      0.4442
472    -0.04189    8.21      1.8425
473    -0.03482	   13.68      0.4442
474    -0.04189    8.21      1.8425
475    -0.03482	   13.68      0.4442
476    -0.04189    8.21      1.8425
477    -0.03482	   13.68      0.4442
478    -0.04189    8.21      1.8425
479    -0.03482	   13.68      0.4442
480    -0.04189    8.21      1.8425
481    -0.03482	   13.68      0.4442
482    -0.04189    8.21      1.8425
483    -0.03482	   13.68      0.4442
484    -0.04189    8.21      1.8425
485    -0.03482	   13.68      0.4442
486    -0.04189    8.21      1.8425
487    -0.03482	   13.68      0.4442
488    -0.04189    8.21      1.8425
489    -0.03482	   13.68      0.4442
490    -0.04189    8.21      1.8425
491    -0.03482	   13.68      0.4442
492    -0.04189    8.21      1.8425
493    -0.03482	   13.68      0.4442
494    -0.04189    8.21      1.8425
495    -0.03482	   13.68      0.4442
496    -0.04189    8.21      1.8425
497    -0.03482	   13.68      0.4442
498    -0.04189    8.21      1.8425
499    -0.03482	   13.68      0.4442
500    -0.04189    8.21      1.8425
501    -0.03482	   13.68      0.4442
502    -0.04189    8.21      1.8425
503    -0.03482	   13.68      0.4442
504    -0.04189    8.21      1.8425
505    -0.03482	   13.68      0.4442
506    -0.04189    8.21      1.8425
507    -0.03482	   13.68      0.4442
508    -0.04189    8.21      1.8425
509    -0.03482	   13.68      0.4442
510    -0.04189    8.21      1.8425
511    -0.03482	   13.68      0.4442
512    -0.04189    8.21      1.8425
513    -0.03482	   13.68      0.4442
514    -0.04189    8.21      1.8425
515    -0.03482	   13.68      0.4442
516    -0.04189    8.21      1.8425
517    -0.03482	   13.68      0.4442
518    -0.04189    8.21      1.8425
519    -0.03482	   13.68      0.4442
520    -0.04189    8.21      1.8425
521    -0.03482	   13.68      0.4442
522    -0.04189    8.21      1.8425
523    -0.03482	   13.68      0.4442
524    -0.04189    8.21      1.8425
525    -0.03482	   13.68      0.4442
526    -0.04189    8.21      1.8425
527    -0.03482	   13.68      0.4442
528    -0.04189    8.21      1.8425
529    -0.03482	   13.68      0.4442
530    -0.04189    8.21      1.8425
531    -0.03482	   13.68      0.4442
532    -0.04189    8.21      1.8425
533    -0.03482	   13.68      0.4442
534    -0.04189    8.21      1.8425
535    -0.03482	   13.68      0.4442
536    -0.04189    8.21      1.8425
537    -0.03482	   13.68      0.4442
538    -0.04189    8.21      1.8425
539    -0.03482	   13.68      0.4442
540    -0.04189    8.21      1.8425
541    -0.03482	   13.68      0.4442
542    -0.04189    8.21      1.8425
543    -0.03482	   13.68      0.4442
544    -0.04189    8.21      1.8425
545    -0.03482	   13.68      0.4442
546    -0.04189    8.21      1.8425
547    -0.03482	   13.68      0.4442
548    -0.04189    8.21      1.8425
549    -0.03482	   13.68      0.4442
550    -0.04189    8.21      1.8425
551    -0.03482	   13.68      0.4442
552    -0.04189    8.21      1.8425
553    -0.03482	   13.68      0.4442
554    -0.04189    8.21      1.8425
555    -0.03482	   13.68      0.4442
556    -0.04189    8.21      1.8425
557    -0.03482	   13.68      0.4442
558    -0.04189    8.21      1.8425
559    -0.03482	   13.68      0.4442
560    -0.0356075    19.6805      1.51589
561    -0.0471524    101.246      0.574857
562    -0.04189    8.21      1.8425
563    -0.03482	   13.68      0.4442
564    -0.04189    8.21      1.8425
565    -0.03482	   13.68      0.4442
566    -0.04189    8.21      1.8425
567    -0.03482	   13.68      0.4442
568    -0.04189    8.21      1.8425
569    -0.03482	   13.68      0.4442
570    -0.04189    8.21      1.8425
571    -0.03482	   13.68      0.4442
572    -0.04189    8.21      1.8425
573    -0.03482	   13.68      0.4442
574    -0.04189    8.21      1.8425
575    -0.03482	   13.68      0.4442
576    -0.04189    8.21      1.8425
577    -0.03482	   13.68      0.4442
578    -0.04189    8.21      1.8425
579    -0.03482	   13.68      0.4442
580    -0.04189    8.21      1.8425
581    -0.03482	   13.68      0.4442
582    -0.04189    8.21      1.8425
583    -0.03482	   13.68      0.4442
584    -0.04189    8.21      1.8425
585    -0.03482	   13.68      0.4442
586    -0.04189    8.21      1.8425
587    -0.03482	   13.68      0.4442
588    -0.04189    8.21      1.8425
589    -0.03482	   13.68      0.4442
590    -0.0430951    7.91309      2.10678
591    -0.0479073    40.7651      0.640469
592    -0.04189    8.21      1.8425
593    -0.03482	   13.68      0.4442
594    -0.04189    8.21      1.8425
595    -0.03482	   13.68      0.4442
596    -0.04189    8.21      1.8425
597    -0.03482	   13.68      0.4442
598    -0.04189    8.21      1.8425
599    -0.03482	   13.68      0.4442
600    -0.04189    8.21      1.8425
601    -0.03482	   13.68      0.4442
602    -0.04189    8.21      1.8425
603    -0.03482	   13.68      0.4442
604    -0.04189    8.21      1.8425
605    -0.03482	   13.68      0.4442
606    -0.04189    8.21      1.8425
607    -0.03482	   13.68      0.4442
608    -0.04189    8.21      1.8425
609    -0.03482	   13.68      0.4442
610    -0.04189    8.21      1.8425
611    -0.03482	   13.68      0.4442
612    -0.04189    8.21      1.8425
613    -0.03482	   13.68      0.4442
614    -0.04189    8.21      1.8425
615    -0.03482	   13.68      0.4442
616    -0.04189    8.21      1.8425
617    -0.03482	   13.68      0.4442
618    -0.04189    8.21      1.8425
619    -0.03482	   13.68      0.4442
620    -0.04189    8.21      1.8425
621    -0.03482	   13.68      0.4442
622    -0.04189    8.21      1.8425
623    -0.03482	   13.68      0.4442
624    -0.04189    8.21      1.8425
625    -0.03482	   13.68      0.4442
626    -0.04189    8.21      1.8425
627    -0.03482	   13.68      0.4442
628    -0.04189    8.21      1.8425
629    -0.03482	   13.68      0.4442
630    -0.04189    8.21      1.8425
631    -0.03482	   13.68      0.4442
632    -0.04189    8.21      1.8425
633    -0.03482	   13.68      0.4442
634    -0.04189    8.21      1.8425
635    -0.03482	   13.68      0.4442
636    -0.04189    8.21      1.8425
637    -0.03482	   13.68      0.4442
638    -0.04189    8.21      1.8425
639    -0.03482	   13.68      0.4442
640    0    0      0
641    0    0      0
642    0    0      0
643    0    0      0
644    0    0      0
645    0    0      0
646    0    0      0
647    0    0      0
648    0    0      0
649    0    0      0
650    0    0      0
651    0    0      0
652    0    0      0
653    0    0      0
654    0    0      0
655    0    0      0
656    0    0      0
657    0    0      0
658    0    0      0
659    0    0      0
660    0    0      0
661    0    0      0
662    0    0      0
663    0    0      0
664    0    0      0
665    0    0      0
666    0    0      0
667    0    0      0
668    0    0      0
669    0    0      0
670    0    0      0
671    0    0      0
672    0    0      0
673    0    0      0
674    0    0      0
675    0    0      0
676    0    0      0
677    0    0      0
678    0    0      0
679    0    0      0
680    0    0      0
681    0    0      0
682    0    0      0
683    0    0      0
684    0    0      0
685    0    0      0
686    0    0      0
687    0    0      0
688    0    0      0
689    0    0      0
690    0    0      0
691    0    0      0
692    0    0      0
693    0    0      0
694    0    0      0
695    0    0      0
696    0    0      0
697    0    0      0
698    0    0      0
699    0    0      0
700    0    0      0
701    0    0      0
702    0    0      0
703    0    0      0
