CHAPEDES  7000  7999     1    2017_11_18
   83    5    0   399.70    2.69
   84    5    0   397.97    2.14
   85    5    0   400.17    2.66
   86    5    0   396.18    2.16
   87    5    0   400.39    2.02
   88    5    0   398.75    2.56
   89    5    0   395.95    2.04
   90    5    0   397.52    2.69
   91    5    0   405.86    2.04
   92    5    0   397.64    2.28
   93    5    0   397.98    2.06
   94    5    0   398.69    2.31
   95    5   99     0.00    0.00
   96    5   99     0.00    0.00
   97    5   99     0.00    0.00
   98    5   99     0.00    0.00
   99    5   99     0.00    0.00
  100    5   99     0.00    0.00
  101    5   99     0.00    0.00
  102    5   99     0.00    0.00
  103    5   99     0.00    0.00
  104    5   99     0.00    0.00
  105    5   99     0.00    0.00
  106    5   99     0.00    0.00
  107    5   99     0.00    0.00
  108    5   99     0.00    0.00
  109    5   99     0.00    0.00
  110    5   99     0.00    0.00
  111    5   99     0.00    0.00
  112    5   99     0.00    0.00
  113    5   99     0.00    0.00
  114    5   99     0.00    0.00
  115    5   99     0.00    0.00
  116    5   99     0.00    0.00
  117    5   99     0.00    0.00
  118    5   99     0.00    0.00
  119    5   99     0.00    0.00
  120    5   99     0.00    0.00
  121    5   99     0.00    0.00
  122    5   99     0.00    0.00
  123    5   99     0.00    0.00
  124    5   99     0.00    0.00
  125    5   99     0.00    0.00
  126    5   99     0.00    0.00
  127    5   99     0.00    0.00
    0    6   99     0.00    0.00
    1    6   99     0.00    0.00
    2    6   99     0.00    0.00
    3    6   99     0.00    0.00
    4    6   99     0.00    0.00
    5    6   99     0.00    0.00
    6    6   99     0.00    0.00
    7    6   99     0.00    0.00
    8    6   99     0.00    0.00
    9    6   99     0.00    0.00
   10    6   99     0.00    0.00
   11    6   99     0.00    0.00
   12    6   99     0.00    0.00
   13    6   99     0.00    0.00
   14    6   99     0.00    0.00
   15    6   99     0.00    0.00
   16    6   99     0.00    0.00
   17    6   99     0.00    0.00
   18    6   99     0.00    0.00
   19    6   99     0.00    0.00
   20    6   99     0.00    0.00
   21    6   99     0.00    0.00
   22    6   99     0.00    0.00
   23    6   99     0.00    0.00
   24    6   99     0.00    0.00
   25    6   99     0.00    0.00
   26    6   99     0.00    0.00
   27    6   99     0.00    0.00
   28    6   99     0.00    0.00
   29    6   99     0.00    0.00
   30    6   99     0.00    0.00
   31    6   99     0.00    0.00
   32    6    0   409.76    2.25
   33    6    0   403.42    2.17
   34    6    0   413.39    2.10
   35    6    0   400.09    2.12
   36    6    0   400.45    2.17
   37    6    0   404.82    2.08
   38    6    0   394.70    2.11
   39    6    0   397.47    2.10
   40    6    0   406.76    2.20
   41    6    0   403.82    2.21
   42    6    0   396.93    2.16
   43    6    0   403.31    2.16
   44    6    0   400.65    2.06
   45    6    0   401.29    2.12
   46    6    0   398.70    2.21
   47    6    0   401.51    2.07
   48    6    0   398.28    2.12
   49    6    0   399.94    2.27
   50    6    0   405.71    2.10
   51    6    0   395.89    1.96
   52    6    0   393.35    2.15
   53    6    0   401.09    2.12
   54    6    0   399.79    2.04
   55    6    0   399.39    2.17
   56    6    0   403.79    2.22
   57    6    0   395.89    2.20
   58    6    0   399.21    2.28
