DIGFCONS   500  12     3    2015_03_08
*---  Made with calib-7 ( run 1587, 2015_02_23)
*---  This is the best calib run for the 2014 data
****  The third parameter on the first line (12) is the number of shapes
    4  -13       0.041     0.428     0.637   -27.375   -10.729    21.730
    4  -12       0.061     0.440     0.617   -27.403    -9.647    21.749
    4  -11       0.082     0.450     0.597   -27.420    -8.587    21.771
    4  -10       0.102     0.459     0.578   -27.428    -7.548    21.799
    4   -9       0.122     0.467     0.559   -27.428    -6.531    21.834
    4   -8       0.142     0.474     0.540   -27.423    -5.536    21.880
    4   -7       0.162     0.480     0.522   -27.415    -4.561    21.938
    4   -6       0.182     0.484     0.504   -27.406    -3.607    22.010
    4   -5       0.202     0.488     0.486   -27.398    -2.671    22.100
    4   -4       0.221     0.491     0.469   -27.395    -1.751    22.207
    4   -3       0.241     0.493     0.452   -27.397    -0.846    22.334
    4   -2       0.260     0.494     0.434   -27.407     0.047    22.481
    4   -1       0.280     0.495     0.417   -27.427     0.930    22.651
    4    0       0.299     0.494     0.400   -27.458     1.806    22.843
    4    1       0.319     0.493     0.383   -27.502     2.678    23.058
    4    2       0.339     0.491     0.366   -27.561     3.549    23.297
    4    3       0.359     0.488     0.349   -27.635     4.421    23.560
    4    4       0.380     0.485     0.331   -27.725     5.297    23.847
    4    5       0.400     0.480     0.313   -27.832     6.181    24.159
    4    6       0.421     0.475     0.295   -27.956     7.074    24.496
    4    7       0.443     0.469     0.277   -28.099     7.981    24.856
    4    8       0.465     0.462     0.258   -28.260     8.904    25.241
    4    9       0.487     0.454     0.239   -28.440     9.846    25.650
    4   10       0.510     0.445     0.219   -28.639    10.809    26.083
    4   11       0.534     0.436     0.199   -28.856    11.797    26.538
    4   12       0.558     0.424     0.178   -29.093    12.811    27.017
    4   13       0.583     0.412     0.156   -29.348    13.855    27.519
    4   14       0.608     0.399     0.134   -29.621    14.930    28.044
    4   15       0.635     0.384     0.111   -29.913    16.040    28.591
    4   16       0.662     0.368     0.087   -30.222    17.187    29.160
    4   17       0.690     0.350     0.063   -30.550    18.373    29.751
    4   18       0.718     0.331     0.037   -30.895    19.600    30.365
    4   19       0.748     0.310     0.011   -31.258    20.871    31.002
    4   20       0.779     0.287    -0.016   -31.637    22.188    31.661
    4   21       0.811     0.262    -0.044   -32.033    23.553    32.345
    4   22       0.843     0.236    -0.073   -32.446    24.968    33.053
    4   23       0.877     0.207    -0.104   -32.876    26.435    33.786
    4   24       0.912     0.176    -0.135   -33.322    27.958    34.547
    4   25       0.949     0.143    -0.168   -33.783    29.538    35.337
    5  -25      -0.220     0.168     0.916   -26.846   -24.634    21.098
    5  -24      -0.196     0.200     0.891   -26.910   -23.411    21.247
    5  -23      -0.173     0.229     0.865   -26.986   -22.195    21.378
    5  -22      -0.151     0.257     0.840   -27.070   -20.987    21.492
    5  -21      -0.129     0.282     0.816   -27.158   -19.786    21.590
    5  -20      -0.107     0.306     0.792   -27.246   -18.594    21.672
    5  -19      -0.085     0.328     0.768   -27.331   -17.411    21.740
    5  -18      -0.063     0.348     0.745   -27.410   -16.240    21.796
    5  -17      -0.042     0.367     0.722   -27.481   -15.082    21.842
    5  -16      -0.021     0.384     0.700   -27.541   -13.939    21.879
    5  -15       0.000     0.400     0.678   -27.591   -12.812    21.910
    5  -14       0.021     0.414     0.657   -27.630   -11.703    21.936
    5  -13       0.042     0.427     0.636   -27.658   -10.614    21.961
    5  -12       0.063     0.438     0.616   -27.676    -9.544    21.987
    5  -11       0.083     0.448     0.596   -27.684    -8.496    22.016
    5  -10       0.104     0.457     0.577   -27.685    -7.469    22.052
    5   -9       0.124     0.465     0.558   -27.679    -6.463    22.095
    5   -8       0.144     0.472     0.539   -27.670    -5.478    22.149
    5   -7       0.164     0.477     0.521   -27.658    -4.514    22.215
    5   -6       0.183     0.482     0.503   -27.647    -3.568    22.296
    5   -5       0.203     0.486     0.485   -27.638    -2.640    22.393
    5   -4       0.223     0.489     0.468   -27.634    -1.727    22.508
    5   -3       0.242     0.491     0.451   -27.636    -0.829    22.642
    5   -2       0.262     0.492     0.433   -27.646     0.059    22.796
    5   -1       0.281     0.492     0.416   -27.666     0.937    22.972
    5    0       0.301     0.492     0.399   -27.698     1.809    23.170
    5    1       0.321     0.491     0.382   -27.743     2.677    23.390
    5    2       0.341     0.489     0.365   -27.802     3.544    23.634
    5    3       0.361     0.486     0.347   -27.875     4.412    23.901
    5    4       0.381     0.482     0.330   -27.965     5.286    24.192
    5    5       0.402     0.478     0.312   -28.072     6.167    24.507
    5    6       0.423     0.473     0.294   -28.196     7.057    24.846
    5    7       0.444     0.467     0.275   -28.337     7.961    25.208
    5    8       0.466     0.460     0.256   -28.497     8.881    25.595
    5    9       0.489     0.452     0.237   -28.675     9.819    26.004
    5   10       0.512     0.443     0.217   -28.871    10.779    26.437
    5   11       0.535     0.434     0.197   -29.086    11.762    26.893
    5   12       0.559     0.423     0.176   -29.319    12.771    27.372
    5   13       0.584     0.411     0.154   -29.570    13.809    27.874
    5   14       0.609     0.397     0.132   -29.840    14.879    28.397
    5   15       0.636     0.383     0.109   -30.127    15.982    28.943
    5   16       0.662     0.367     0.085   -30.432    17.121    29.511
    5   17       0.690     0.349     0.061   -30.754    18.298    30.101
    5   18       0.719     0.330     0.035   -31.094    19.516    30.714
    5   19       0.749     0.309     0.009   -31.450    20.776    31.349
    5   20       0.779     0.287    -0.018   -31.823    22.081    32.007
    5   21       0.811     0.263    -0.046   -32.212    23.433    32.689
    5   22       0.843     0.236    -0.075   -32.618    24.834    33.395
    5   23       0.877     0.208    -0.105   -33.040    26.286    34.128
    5   24       0.912     0.178    -0.137   -33.477    27.791    34.887
    5   25       0.948     0.145    -0.169   -33.930    29.353    35.675
    6  -25      -0.220     0.172     0.915   -27.381   -24.415    21.365
    6  -24      -0.196     0.203     0.889   -27.423   -23.197    21.509
    6  -23      -0.173     0.232     0.863   -27.477   -21.988    21.636
    6  -22      -0.150     0.259     0.838   -27.539   -20.786    21.747
    6  -21      -0.128     0.284     0.814   -27.605   -19.594    21.842
    6  -20      -0.106     0.307     0.790   -27.671   -18.411    21.923
    6  -19      -0.084     0.329     0.766   -27.734   -17.238    21.991
    6  -18      -0.062     0.349     0.743   -27.792   -16.079    22.048
    6  -17      -0.041     0.367     0.721   -27.843   -14.933    22.095
    6  -16      -0.019     0.384     0.699   -27.886   -13.802    22.135
    6  -15       0.002     0.399     0.677   -27.919   -12.689    22.170
    6  -14       0.023     0.413     0.656   -27.943   -11.593    22.202
    6  -13       0.044     0.425     0.635   -27.958   -10.517    22.233
    6  -12       0.064     0.437     0.615   -27.964    -9.460    22.266
    6  -11       0.085     0.447     0.595   -27.963    -8.425    22.302
    6  -10       0.105     0.455     0.576   -27.955    -7.410    22.345
    6   -9       0.125     0.463     0.557   -27.943    -6.416    22.396
    6   -8       0.145     0.470     0.539   -27.929    -5.442    22.458
    6   -7       0.165     0.475     0.520   -27.913    -4.487    22.532
    6   -6       0.185     0.480     0.502   -27.898    -3.551    22.621
    6   -5       0.205     0.483     0.485   -27.887    -2.631    22.725
    6   -4       0.224     0.486     0.467   -27.881    -1.726    22.847
    6   -3       0.244     0.488     0.450   -27.881    -0.834    22.988
    6   -2       0.263     0.489     0.432   -27.890     0.048    23.148
    6   -1       0.283     0.490     0.415   -27.909     0.921    23.329
    6    0       0.303     0.489     0.398   -27.940     1.788    23.532
    6    1       0.322     0.488     0.381   -27.983     2.652    23.756
    6    2       0.342     0.486     0.363   -28.040     3.515    24.003
    6    3       0.362     0.483     0.346   -28.112     4.380    24.273
    6    4       0.383     0.480     0.328   -28.200     5.249    24.567
    6    5       0.404     0.476     0.310   -28.304     6.126    24.883
    6    6       0.425     0.471     0.292   -28.425     7.013    25.223
    6    7       0.446     0.465     0.273   -28.563     7.913    25.585
    6    8       0.468     0.458     0.254   -28.719     8.829    25.971
    6    9       0.490     0.450     0.235   -28.892     9.762    26.380
    6   10       0.513     0.441     0.215   -29.083    10.716    26.812
    6   11       0.536     0.432     0.194   -29.292    11.693    27.266
    6   12       0.560     0.421     0.173   -29.518    12.696    27.742
    6   13       0.585     0.409     0.152   -29.763    13.726    28.241
    6   14       0.610     0.396     0.130   -30.024    14.787    28.762
    6   15       0.636     0.381     0.107   -30.303    15.881    29.304
    6   16       0.663     0.366     0.083   -30.599    17.009    29.868
    6   17       0.691     0.348     0.058   -30.912    18.174    30.454
    6   18       0.719     0.330     0.033   -31.241    19.379    31.062
    6   19       0.749     0.309     0.007   -31.587    20.625    31.693
    6   20       0.779     0.287    -0.020   -31.948    21.914    32.346
    6   21       0.810     0.264    -0.048   -32.325    23.248    33.023
    6   22       0.843     0.238    -0.077   -32.718    24.630    33.724
    6   23       0.876     0.210    -0.107   -33.126    26.061    34.451
    6   24       0.910     0.180    -0.139   -33.548    27.544    35.205
    6   25       0.946     0.148    -0.171   -33.986    29.079    35.987
    7  -25      -0.220     0.175     0.913   -27.862   -24.262    21.663
    7  -24      -0.196     0.206     0.887   -27.887   -23.047    21.801
    7  -23      -0.173     0.234     0.862   -27.924   -21.840    21.922
    7  -22      -0.150     0.261     0.837   -27.969   -20.642    22.027
    7  -21      -0.127     0.285     0.813   -28.017   -19.453    22.118
    7  -20      -0.105     0.308     0.789   -28.066   -18.276    22.196
    7  -19      -0.083     0.329     0.765   -28.113   -17.110    22.262
    7  -18      -0.061     0.349     0.742   -28.156   -15.958    22.318
    7  -17      -0.039     0.367     0.720   -28.192   -14.820    22.365
    7  -16      -0.018     0.383     0.698   -28.221   -13.698    22.406
    7  -15       0.003     0.398     0.676   -28.243   -12.593    22.443
    7  -14       0.024     0.412     0.655   -28.255   -11.506    22.477
    7  -13       0.045     0.424     0.635   -28.260   -10.439    22.512
    7  -12       0.066     0.435     0.614   -28.258    -9.392    22.548
    7  -11       0.086     0.445     0.595   -28.249    -8.365    22.589
    7  -10       0.107     0.453     0.575   -28.235    -7.359    22.636
    7   -9       0.127     0.461     0.556   -28.218    -6.373    22.693
    7   -8       0.147     0.467     0.538   -28.199    -5.407    22.760
    7   -7       0.166     0.473     0.520   -28.180    -4.459    22.839
    7   -6       0.186     0.477     0.502   -28.163    -3.529    22.933
    7   -5       0.206     0.481     0.484   -28.150    -2.616    23.043
    7   -4       0.225     0.484     0.466   -28.142    -1.716    23.169
    7   -3       0.245     0.486     0.449   -28.141    -0.829    23.315
    7   -2       0.265     0.487     0.431   -28.149     0.048    23.480
    7   -1       0.284     0.487     0.414   -28.167     0.917    23.665
    7    0       0.304     0.487     0.397   -28.197     1.780    23.871
    7    1       0.324     0.486     0.380   -28.239     2.640    24.099
    7    2       0.344     0.484     0.362   -28.295     3.499    24.349
    7    3       0.364     0.481     0.345   -28.365     4.360    24.622
    7    4       0.384     0.478     0.327   -28.451     5.226    24.918
    7    5       0.405     0.473     0.309   -28.553     6.099    25.236
    7    6       0.426     0.468     0.290   -28.671     6.982    25.577
    7    7       0.447     0.462     0.272   -28.806     7.878    25.942
    7    8       0.469     0.456     0.253   -28.959     8.788    26.329
    7    9       0.491     0.448     0.233   -29.128     9.716    26.738
