# Average slewing corrections obtained with run 12995.
# Channels 456 458 688 689 860 862 896 898 behave differently and have been fitted separately with CHANTITimeSlewing
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
702     -0.03482	   13.68      0.4442
703     -0.04189    8.21      1.8425
704     0    0      0
705     0    0      0
706     0    0      0
707     0    0      0
708     0    0      0
709     0    0      0
710     0    0      0
711     0    0      0
712     0    0      0
713     0    0      0
714     0    0      0
715     0    0      0
716     0    0      0
717     0    0      0
718     0    0      0
719     0    0      0
720     0    0      0
721     0    0      0
722     0    0      0
723     0    0      0
724     0    0      0
725     0    0      0
726     0    0      0
727     0    0      0
728     0    0      0
729     0    0      0
730     0    0      0
731     0    0      0
732     0    0      0
733     0    0      0
734     0    0      0
735     0    0      0
736     0    0      0
737     0    0      0
738     0    0      0
739     0    0      0
740     0    0      0
741     0    0      0
742     0    0      0
743     0    0      0
744     0    0      0
745     0    0      0
746     0    0      0
747     0    0      0
748     0    0      0
749     0    0      0
750     0    0      0
751     0    0      0
752     0    0      0
753     0    0      0
754     0    0      0
755     0    0      0
756     0    0      0
757     0    0      0
758     0    0      0
759     0    0      0
760     0    0      0
761     0    0      0
762     0    0      0
763     0    0      0
764     0    0      0
765     0    0      0
766     0    0      0
767     0    0      0
768     -0.03482	   13.68      0.4442
769     0    0      0
770     -0.04189    8.21      1.8425
771     0    0      0
772     -0.03482	   13.68      0.4442
773     0    0      0
774     -0.04189    8.21      1.8425
775     0    0      0
776     -0.03482	   13.68      0.4442
777     0    0      0
778     -0.04189    8.21      1.8425
779     0    0      0
780     -0.03482	   13.68      0.4442
781     0    0      0
782     -0.04189    8.21      1.8425
783     0    0      0
784     -0.03482	   13.68      0.4442
785     0    0      0
786     -0.04189    8.21      1.8425
787     0    0      0
788     -0.03482	   13.68      0.4442
789     0    0      0
790     -0.04189    8.21      1.8425
791     0    0      0
792     -0.03482	   13.68      0.4442
793     0    0      0
794     -0.04189    8.21      1.8425
795     0    0      0
796     -0.03482	   13.68      0.4442
797     0    0      0
798     -0.04189    8.21      1.8425
799     0    0      0
800     -0.03482	   13.68      0.4442
801     0    0      0
802     -0.04189    8.21      1.8425
803     0    0      0
804     -0.03482	   13.68      0.4442
805     0    0      0
806     -0.04189    8.21      1.8425
807     0    0      0
808     -0.03482	   13.68      0.4442
809     0    0      0
810     -0.04189    8.21      1.8425
811     0    0      0
812     -0.03482	   13.68      0.4442
813     0    0      0
814     -0.04189    8.21      1.8425
815     0    0      0
816     -0.03482	   13.68      0.4442
817     0    0      0
818     -0.04189    8.21      1.8425
819     0    0      0
820     -0.03482	   13.68      0.4442
821     0    0      0
822     -0.04189    8.21      1.8425
823     0    0      0
824     -0.03482	   13.68      0.4442
825     0    0      0
826     -0.04189    8.21      1.8425
827     0    0      0
828     -0.03482	   13.68      0.4442
829     0    0      0
830     -0.04189    8.21      1.8425
831     0    0      0
832     -0.03482	   13.68      0.4442
833     0    0      0
834     -0.04189    8.21      1.8425
835     0    0      0
836     -0.03482	   13.68      0.4442
837     0    0      0
838     -0.04189    8.21      1.8425
839     0    0      0
840     -0.03482	   13.68      0.4442
841     0    0      0
842     -0.04189    8.21      1.8425
843     0    0      0
844     -0.03482	   13.68      0.4442
845     0    0      0
846     -0.04189    8.21      1.8425
847     0    0      0
848     -0.03482	   13.68      0.4442
849     0    0      0
850     -0.04189    8.21      1.8425
851     0    0      0
852     -0.03482	   13.68      0.4442
853     0    0      0
854     -0.04189    8.21      1.8425
855     0    0      0
856     -0.03482	   13.68      0.4442
857     0    0      0
858     -0.04189    8.21      1.8425
859     0    0      0
860	    -0.0471524    101.246      0.574857
861     0    0      0
862     -0.0356075    19.6805      1.51589
863     0    0      0
864     0    0      0
865     0    0      0
866     0    0      0
867     0    0      0
868     0    0      0
869     0    0      0
870     0    0      0
871     0    0      0
872     0    0      0
873     0    0      0
874     0    0      0
875     0    0      0
876     0    0      0
877     0    0      0
878     0    0      0
879     0    0      0
880     0    0      0
881     0    0      0
882     0    0      0
883     0    0      0
884     0    0      0
885     0    0      0
886     0    0      0
887     0    0      0
888     0    0      0
889     0    0      0
890     0    0      0
891     0    0      0
892     0    0      0
893     0    0      0
894     0    0      0
895     0    0      0
896	    -0.0472618    108.874      0.591956
897     0    0      0
898     -0.0354634    19.7977      1.53581
899     0    0      0
900     -0.03482	   13.68      0.4442
901     0    0      0
902     -0.04189    8.21      1.8425
903     0    0      0
904     -0.03482	   13.68      0.4442
905     0    0      0
906     -0.04189    8.21      1.8425
