# Slewing corrections obtained with run 4740
#-----------------------------------------------------------------------------------
#SeqID 	p0       	p1			p2	     
#-----------------------------------------------------------------------------------
497    -8.284e-2    12.92      2.071	
498    -8.52e-2	   22.2      1.091
499    -8.284e-2    12.92      2.071
500    -8.52e-2	   22.2      1.091
501    -8.284e-2    12.92      2.071
502    -8.52e-2	   22.2      1.091
503    -8.284e-2    12.92      2.071
504    -8.52e-2	   22.2      1.091 
505    -8.284e-2    12.92      2.071	
506    -8.52e-2	   22.2      1.091
507    -8.284e-2    12.92      2.071
508    -8.52e-2	   22.2      1.091
509    -8.284e-2    12.92      2.071
510    -8.52e-2	   22.2      1.091
511    -8.284e-2    12.92      2.071
512    -8.52e-2	   22.2      1.091  
513    -8.284e-2    12.92      2.071	
514    -8.52e-2	   22.2      1.091
515    -8.284e-2    12.92      2.071
516    -8.52e-2	   22.2      1.091
517    -8.284e-2    12.92      2.071
518    -8.52e-2	   22.2      1.091
519    -8.284e-2    12.92      2.071
520    -8.52e-2	   22.2      1.091 
521    -8.284e-2    12.92      2.071	
522    -8.52e-2	   22.2      1.091
523    -8.284e-2    12.92      2.071
524    -8.52e-2	   22.2      1.091
525    -8.284e-2    12.92      2.071
526    -8.52e-2	   22.2      1.091
527    -8.284e-2    12.92      2.071
528    -8.52e-2	   22.2      1.091  
529    -8.284e-2    12.92      2.071	
530    -8.52e-2	   22.2      1.091
531    -8.284e-2    12.92      2.071
532    -8.52e-2	   22.2      1.091
533    -8.284e-2    12.92      2.071
534    -8.52e-2	   22.2      1.091
535    -8.284e-2    12.92      2.071
536    -8.52e-2	   22.2      1.091 
537    -8.284e-2    12.92      2.071	
538    -8.52e-2	   22.2      1.091
539    -8.284e-2    12.92      2.071
540    -8.52e-2	   22.2      1.091
541    -8.284e-2    12.92      2.071
542    -8.52e-2	   22.2      1.091
543    -8.284e-2    12.92      2.071
544    -8.52e-2	   22.2      1.091  
545    -8.284e-2    12.92      2.071	
546    -8.52e-2	   22.2      1.091
547    -8.284e-2    12.92      2.071
548    -8.52e-2	   22.2      1.091
549    -8.284e-2    12.92      2.071
550    -8.52e-2	   22.2      1.091
551    -8.284e-2    12.92      2.071
552    -8.52e-2	   22.2      1.091 
553    -8.284e-2    12.92      2.071	
554    -8.52e-2	   22.2      1.091
555    -8.284e-2    12.92      2.071
556    -8.52e-2	   22.2      1.091
557    -8.284e-2    12.92      2.071
558    -8.52e-2	   22.2      1.091
559    -8.284e-2    12.92      2.071
560    -8.52e-2	   22.2      1.091  
561    -8.284e-2    12.92      2.071	
562    -8.52e-2	   22.2      1.091
563    -8.284e-2    12.92      2.071
564    -8.52e-2	   22.2      1.091
565    -8.284e-2    12.92      2.071
566    -8.52e-2	   22.2      1.091
567    -8.284e-2    12.92      2.071
568    -8.52e-2	   22.2      1.091 
569    -8.284e-2    12.92      2.071	
570    -8.52e-2	   22.2      1.091
571    -8.284e-2    12.92      2.071
572    -8.52e-2	   22.2      1.091
573    -8.284e-2    12.92      2.071
574    -8.52e-2	   22.2      1.091
575    -8.284e-2    12.92      2.071
576    -8.52e-2	   22.2      1.091 
577    -8.284e-2    12.92      2.071	
578    -8.52e-2	   22.2      1.091
579    -8.284e-2    12.92      2.071
580    -8.52e-2	   22.2      1.091
581    -8.284e-2    12.92      2.071
582    -8.52e-2	   22.2      1.091
583    -8.284e-2    12.92      2.071
584    -8.52e-2	   22.2      1.091 
585    -8.284e-2    12.92      2.071	
586    -8.52e-2	   22.2      1.091
587    -8.284e-2    12.92      2.071
588    -8.52e-2	   22.2      1.091
589    -8.284e-2    12.92      2.071
590    -8.52e-2	   22.2      1.091
591    -8.284e-2    12.92      2.071
592    -8.52e-2	   22.2      1.091 
593    -8.284e-2    12.92      2.071	
594    -8.52e-2	   22.2      1.091
595    -8.284e-2    12.92      2.071
596    -8.52e-2	   22.2      1.091
597    -8.284e-2    12.92      2.071
598    -8.52e-2	   22.2      1.091
599    -8.284e-2    12.92      2.071
600    -8.52e-2	   22.2      1.091 
601    -8.284e-2    12.92      2.071	
602    -8.52e-2	   22.2      1.091
603    -8.284e-2    12.92      2.071
604    -8.52e-2	   22.2      1.091
605    -8.284e-2    12.92      2.071
606    -8.52e-2	   22.2      1.091
607    -8.284e-2    12.92      2.071
608    -8.52e-2	   22.2      1.091 
609    -8.284e-2    12.92      2.071	
610    -8.52e-2	   22.2      1.091
611    -8.284e-2    12.92      2.071
612    -8.52e-2	   22.2      1.091
613    -8.284e-2    12.92      2.071
614    -8.52e-2	   22.2      1.091
615    -8.284e-2    12.92      2.071
616    -8.52e-2	   22.2      1.091 
617    -8.284e-2    12.92      2.071	
618    -8.52e-2	   22.2      1.091
619    -8.284e-2    12.92      2.071
620    -8.52e-2	   22.2      1.091
621    -8.284e-2    12.92      2.071
622    -8.52e-2	   22.2      1.091
623    -8.284e-2    12.92      2.071
624    -8.52e-2	   22.2      1.091 
625    -8.284e-2    12.92      2.071	
626    -8.52e-2	   22.2      1.091
627    -8.284e-2    12.92      2.071
628    -8.52e-2	   22.2      1.091
629    -8.284e-2    12.92      2.071
