# Generated with run 8511, valid from the start of 2018 till run 8622.
# Stretching values of FE thresholds for channels with ROID 576-608
# found wrong and fixed from run 8623.
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
212 	 12.6334 	 16.6334 	 0.160841 	 -0.2884
213 	 12.1494 	 16.1494 	 0.268298 	 -0.407897
214 	 12.8777 	 16.8777 	 0.165658 	 -0.340196
215 	 12.6622 	 16.6622 	 0.259812 	 -0.348453
216 	 13.2535 	 17.2535 	 0.22045 	 -0.35519
217 	 13.3913 	 17.3913 	 0.173159 	 -0.28098
218 	 13.6844 	 17.6844 	 0.188582 	 -0.316255
219 	 13.4863 	 17.4863 	 0.176092 	 -0.3124
220 	 13.4647 	 17.4647 	 0.198083 	 -0.323698
221 	 13.3426 	 17.3426 	 0.19499 	 -0.319301
222 	 12.9713 	 16.9713 	 0.215235 	 -0.324419
223 	 13.6948 	 17.6948 	 0.206822 	 -0.351856
224 	 12.7306 	 16.7306 	 0.142847 	 -0.314275
225 	 12.7394 	 16.7394 	 0.22489 	 -0.336078
226 	 13.0516 	 17.0516 	 0.219708 	 -0.324124
227 	 12.9666 	 16.9666 	 0.139653 	 -0.245991
228 	 12.9596 	 16.9596 	 0.243081 	 -0.33238
229 	 13.1957 	 17.1957 	 0.14696 	 -0.293747
230 	 12.9405 	 16.9405 	 0.163885 	 -0.270063
231 	 12.8501 	 16.8501 	 0.190117 	 -0.298823
232 	 12.9632 	 16.9632 	 0.201463 	 -0.284627
233 	 13.2553 	 17.2553 	 0.136567 	 -0.270902
234 	 13.1009 	 17.1009 	 0.207196 	 -0.271544
235 	 12.9731 	 16.9731 	 0.221589 	 -0.302268
236 	 13.1726 	 17.1726 	 0.166006 	 -0.265491
237 	 13.0905 	 17.0905 	 0.157393 	 -0.239458
238 	 13.0591 	 17.0591 	 0.13066 	 -0.27459
239 	 13.4449 	 17.4449 	 0.163987 	 -0.283842
240 	 13.601 	 17.601 	 0.270494 	 -0.343088
241 	 14.1168 	 18.1168 	 0.207325 	 -0.277714
242 	 14.1343 	 18.1343 	 0.205258 	 -0.322826
243 	 13.9011 	 17.9011 	 0.226061 	 -0.345049
244 	 14.2119 	 18.2119 	 0.24065 	 -0.31578
245 	 14.1901 	 18.1901 	 0.19139 	 -0.279476
246 	 14.584 	 18.584 	 0.158957 	 -0.257239
