# Slewing corrections obtained with run 1520 (minimum bias)
#---------------------------------------------------------------------
#SeqID 	 MinWidth 	 MaxWidth 	 SC_MinWidth 	 SC_MaxWidth
#---------------------------------------------------------------------
277 	 15.9963 	 22.9963 	 1.0323 	 0.376838
278 	 15.7219 	 22.7219 	 1.12188 	 0.500161
279 	 15.9205 	 22.9205 	 1.09957 	 0.386181
280 	 15.0683 	 22.0683 	 0.0857376 	 -0.0592581
281 	 15.1111 	 22.1111 	 0.552998 	 -0.285874
282 	 15.3937 	 22.3937 	 0.109318 	 -0.157974
283 	 15.4872 	 22.4872 	 0.362459 	 -0.057908
284 	 15.6407 	 22.6407 	 0.809569 	 0.244582
285 	 15.5444 	 22.5444 	 -0.0132556 	 -0.292585
286 	 15.394 	 22.394 	 0.0764427 	 0.0607773
287 	 15.6181 	 22.6181 	 0.449555 	 -0.125657
288 	 15.862 	 22.862 	 1.26029 	 0.542951
289 	 15.1921 	 22.1921 	 0.837094 	 0.516092
290 	 14.9681 	 21.9681 	 1.0403 	 0.190382
291 	 15.074 	 22.074 	 1.32595 	 1.49466
292 	 14.686 	 21.686 	 0.975039 	 0.679066
293 	 15.4589 	 22.4589 	 1.21982 	 0.302253
294 	 14.7499 	 21.7499 	 1.04481 	 0.277504
295 	 14.976 	 21.976 	 1.40277 	 0.06655
296 	 16.8604 	 23.8604 	 0.329017 	 -0.294334
297 	 16.4734 	 23.4734 	 0.212964 	 -0.330329
298 	 16.4237 	 23.4237 	 0.104805 	 -0.386049
299 	 16.5059 	 23.5059 	 0.440637 	 -0.203474
300 	 16.3985 	 23.3985 	 0.232709 	 -0.140051
301 	 16.3338 	 23.3338 	 0.288622 	 -0.524787
302 	 16.2188 	 23.2188 	 0.253569 	 -0.495245
303 	 16.1708 	 23.1708 	 0.306932 	 -0.145502
304 	 15.7336 	 22.7336 	 0.94695 	 0.392964
305 	 15.8305 	 22.8305 	 1.00215 	 0.274512
306 	 16.0054 	 23.0054 	 0.915166 	 0.495742
307 	 16.4771 	 23.4771 	 0.944463 	 0.602269
308 	 15.598 	 22.598 	 1.24113 	 0.506121
309 	 15.9794 	 22.9794 	 0.980941 	 0.37656
310 	 15.7899 	 22.7899 	 1.13121 	 0.335674
311 	 15.618 	 22.618 	 1.15596 	 0.51923
312 	 16.0706 	 23.0706 	 1.70857 	 0.682225
313 	 15.7143 	 22.7143 	 1.60857 	 1.10381
314 	 16.219 	 23.219 	 1.26518 	 0.62029
315 	 16.8152 	 23.8152 	 1.2586 	 0.594827
316 	 16.3095 	 23.3095 	 1.21817 	 0.782605
317 	 16.5085 	 23.5085 	 1.3522 	 0.784746
318 	 16.5162 	 23.5162 	 1.51184 	 0.897523
319 	 15.9473 	 22.9473 	 1.28888 	 0.835433
320 	 16.8652 	 23.8652 	 0.264419 	 -0.490076
321 	 16.5491 	 23.5491 	 0.168563 	 -0.281491
322 	 16.5511 	 23.5511 	 0.190479 	 -0.280682
